to title	贴片机对准系统的精度标定是视觉定位的关键环节,直接影响贴片精度与贴片质量.为提高对准系统标定精度,提出了基于光栅的精度标定方法.将光栅图像灰度值之和形成一组周期固定的准正弦信号,通过像元平移把图像条纹灰度值变为李萨如图.对李萨如图及其数据进行分析与处理,直接计算出光学系统的分辨率,从而实现光学系统的精度标定.采用上述方法得到了与理论计算比较吻合的贴片机对准系统精度标定结果,并且利用标准大刻尺进行了标定验证实验.获取了标准大刻尺的图像,通过图像处理计算出刻线间的像素坐标差,将像素坐标差值与成像系统分辨率相乘计算出代表实测的刻线间距.对实验数据的误差分析表明,这种标定方法精度高,偏差＜0.2 μm,满足贴片机的对准精度要求.	基于光栅的贴片机对准系统的精度标定
to title	大布苏湖地处松嫩平原南部,是一个封闭的构造断陷湖.湖区地貌类型复杂,沉积环境独具特色.根据地形面的分异和沉积物特征,结合14C测年,确定大布苏湖形成于晚更新世晚期.湖泊形成的早期,曾经历了深湖的发育阶段.全新世以来,湖面波动式下降,并有两次规模较大的扩张和收缩时期,形成了两个完整的湖进、湖退沉积旋回.晚全新世以来,气候干燥,风力作用活跃,湖面明显萎缩,形成我国东部地区极为罕见的盐湖.	大布苏湖地貌-沉积类型与湖泊演化
to title	使用一维ZnO纳米线和二维石墨烯复合结构集成到p-GaN表面来同时实现电流扩展和提高LED光提取效率。通过两组有无ZnO纳米线器件的对比,发现ZnO纳米线使器件的光提取效率提高了30％。通过分析两组器件的开启电压、工作电压和反向漏电流等关键参数,验证了本结构应用于GaN LED不会恶化其电性能。本文所采用的复合结构用于GaN LED,同时达到了良好欧姆接触、避免使用ITO和增强出光的效果。	基于石墨烯-ZnO纳米线的复合电极在GaN LED中的应用
to title	用柠檬酸法制备了CexZr1-xO2(x=0.5～1.0)铈锆固溶体,用浸渍法分别在铈锆固溶体上负载0.5%的Pt.用热重法(TG)测试了催化剂对碳烟的催化活性,Pt/Ce0.8Zr0.2O2显示了最高的催化活性.采用比表面(BET),X-射线衍射仪(XRD)和红外仪(FTIR)对催化剂进行了测试.结果表明:催化剂催化燃烧碳烟的活性与催化剂比表面积大小有关,可能是由于Pt在比表面积大的固溶体表面分散得更好,有利于氧溢出,促进碳烟的燃烧.	Pt负载的铈锆固溶体的催化性能与表征
to title	 今年是蜚声中外的著名哲学家和伦理学家、北京大学教授周辅成先生的百年诞辰,依然一寸结千思,作为他的弟子深切缅怀和悼念先生.	信念坚贞大师典范——纪念周辅成先生诞辰一百周年
to title	实施新课标以来,对基础教育体育课程“好课”的判断不一,原因是体育课程缺乏基本规定性,判断忽略了前提、过于主观和体育学科发展的不成熟.认为“好课”判断需在分清课的类型基础上,从课程目标、教学内容选择、教学方法运用、教学效果等方面来进行.	基础教育体育课程“好课”的判断
to title	对交通流跟驰模型施以拉氏变换（或z变换），转换为控制系统传递函数形式，进而通过分析传递函数来探讨交通流系统稳定性及控制方法，这是交通流稳定性理论研究重要方向之一。为进一步挖掘分析稳定交通流系统在稳定状态下动态特性，基于最优速度跟驰模型，以控制理论时域分析方法，研究了交通流系统在欠阻尼和过阻尼两种情况下阶跃响应动态特性，并以仿真算例验证了理论正确性。过阻尼较欠阻尼交通流系统稳定性好，但调节时间更长，若将交通事件抽象为阶跃响应，通过分析交通流系统调节时间、超调量等参数，可为计算交通事件持续时间作参考，进而制定合理有效的交通管理措施。	OV模型交通流阻尼特性研究
to title	报告1例以色素减退为主要表现的蕈样肉芽肿.患者男,51岁.四肢起淡白斑5年.皮肤科检查见四肢散在圆形色素减退斑,大小不等,边界清楚,部分色素减退斑中央可见色素沉着.皮损组织病理检查:表皮内有散在淋巴细胞,可见Pautrier微脓肿,真皮乳头层有淋巴细胞浸润.免疫组化染色结果示:CD45RO(+++)、CD8(++)、CD117(+)、CD45RA(-)、CD20(-).诊断:蕈样肉芽肿.	色素减退型蕈样肉芽肿
to title	《科学时报》最近报道了两则有关转基因食品的科技新闻再次引起人们对转基因食品安全性的关注.转基因食品对人类健康和生态环境的危害具有科学上的不确定性,导致政府对转基因食品安全发展决策的不确定性.本文认为转基因食品安全发展决策的不确定性是长期存在的,但在转基因食品发展不确定性决策中应该有确定性的伦理准则,那就是“尊重生命健康,避免遗传物质跨物种感染”和“不伤害其他生命,保持生物多样性”.政府要建立起符合伦理道德的管理机制来规避转基因食品发展中的风险,即建立道德责任追踪制度、完善效益与风险评估检测制度、尊重知情选择的合理标识管理制度和健全公平公正的利益分配制度.	转基因食品安全不确定性决策的伦理思考
to title	<曲藻>作为王世贞中年的曲论之作,烙刻了这位诗文大家与大史学家的雅文学的与史学的思想印迹.又因为这种思想是发展的,却又是不成熟的,因此表现为价值与缺憾的共存,并集中体现在涤源清流的总体把握,标举"才情"的创作主张及与之既相矛盾又有统一的实际表现等三个方面.	论《曲藻》
to title	本文基于10个行业的统计分析显示，浙江产业集群的整体竞争力在三省中最强，广东产业集群竞争力处于中间水平，而江苏产业集群的整体竞争力垫底。浙江产业集群竞争力优势主要集中体现在劳动密集型的传统制造业上，而在资本和技术密集型装配制造业上的集群竞争力较弱。相反，广东和江苏虽然劳动密集型传统制造业集群竞争力不如浙江，但其资本和技术密集型装配制造业集群则具有较高的竞争力。同时，网络系统的结构差异是导致粤苏浙三省产业集群竞争力差异的决定性因素，因此，各地应将改善集群网络系统的构成和运行质量作为未来产业政策的重点。	粤苏浙产业集群竞争力的比较研究--基于10大代表性行业的统计分析
to title	 21世纪,将是质量竞争的世纪,信息、技术和管理是决定质量竞争胜败的三个关键因素.作为从事种子质量管理工作每一个人来说,在面对新世纪来临的时候,对"种子质量管理"这六个字应当有新的感想和新的启示.	对种子质量管理工作的回顾与展望
to title	国际著名两大评级机构同时调低中国信用,地方债务所累积的风险和可能给未来经济带来的巨大伤害引起各界关注.在实行金融严格分业管理的中国,地方政府债务产生究竟有着怎样深刻的背景?文章剖析了地方债务依托的地方政府融资平台公司,依赖于政府的土地财政,与地方性商业银行、信托公司、影子银行的合作,环环相扣、险象环生,累积和加剧了金融风险,如不采取措施将有可能演变为中国式的“次贷危机”.据此,文章提出了正确理解新型城镇化目标作为下一轮经济的支撑点、改变评价政府绩效的观念以及在财务预算改革、金融监管等方面全方位综合治理地方债务的解决方案.	地方债:中国式的“次贷危机”——从穆迪调低中国地方政府信用谈起
to title	在调查3省区农村学校体育现状的基础上进行对比分析,力图找出不同区域经济条件下农村学校体育发展的差异,并提出发展对策,为3省区教育和体育主管部门提供参考.	山东、新疆和内蒙农村学校体育现状比较
to title	以高分辨率QuickBird卫星影像及航片为数据源,借助GIS技术平台获得广西贵港市4个时期城市景观类型图;运用景观格局指数定量分析城市景观格局的时空变化特征.分析结果表明,近40 a来贵港市城市景观趋于有序多样化,表征城市综合发展水平的公共设施用地、市政公用设施用地和工业用地的斑块数和面积均逐年上升;建成区用地规模在经历了扩展过快和扩展不足的波动后,最近10 a趋于合理,但仍存在一定程度的土地资源闲置现象;城市化过程中,城市主要景观要素(公共设施用地、工业用地、居住用地和农田)的空间形状表现出规则整齐的特征,而主要景观要素的空间分布特征具有明显的波动变化趋势.	广西贵港市城市建成区景观格局动态变化研究
to title	信息共享能够有力推动长江河口的管理和研究,空间元数据是实现有效信息共享的支撑技术,目前长江河口研究的一个重要的瓶颈问题是数据格式不统一、无法实现共享,因此研究长江河口空间元数据尤为必要.本文从实现长江河口信息有效共享的角度,提出了长江河口空间元数据的概念,归纳了空间元数据的内容体系,并进一步研究了长江河口空间元数据获取的步骤和方法,利用XML文档技术实现其管理和应用.	长江河口空间元数据研究
to title	增强纤维与基体间的界面对金属基复合材料的性质起着重要的作用,纤维表面涂层法是解决纤维增强金属基复合材料界面问题的有效途径之一.针对纤维表面涂层的选取原则、分类及制备工艺,综述了金属基复合材料的界面稳定性及综合性能的影响.	金属基复合材料中增强纤维表面涂层研究现状
to title	本文针对我国农业技术推广工作的现状和存在的问题,通过对市场经济条件下农业技术推广各主体的价值取向与农技推广所具有的准公共产品属性的分析,提出了对农业技术推广进行制度创新的政策建议.	论农业技术推广的制度创新
